dataset,issue_type,count
age_of_empires_ocel2,missing_object_type,0
age_of_empires_ocel2,missing_attribute_value,630590
age_of_empires_ocel2,missing_event_attribute_value,0
age_of_empires_ocel2,duplicate_objects_on_ids,0
age_of_empires_ocel2,duplicate_objects_on_attributes,118
age_of_empires_ocel2,duplicate_events_on_ids,0
age_of_empires_ocel2,duplicate_events_on_attributes,0
age_of_empires_ocel2,duplicate_o2o_relations,0
age_of_empires_ocel2,o2o_self_loop,0
age_of_empires_ocel2,duplicate_e2o_relations,0
age_of_empires_ocel2,incorrect_attribute_datatype,0
age_of_empires_ocel2,incorrect_event_attribute_datatype,0
age_of_empires_ocel2,dangling_o2o_relationship,283394
age_of_empires_ocel2,dangling_e2o_relationship,199658
age_of_empires_ocel2,missing_event_timestamp,0
age_of_empires_ocel2,missing_event,0
age_of_empires_ocel2,missing_event_type,0
age_of_empires_ocel2,missing_object,0
angular-github-commits,missing_object_type,0
angular-github-commits,missing_attribute_value,0
angular-github-commits,missing_event_attribute_value,18370
angular-github-commits,duplicate_objects_on_ids,0
angular-github-commits,duplicate_objects_on_attributes,0
angular-github-commits,duplicate_events_on_ids,0
angular-github-commits,duplicate_events_on_attributes,0
angular-github-commits,duplicate_o2o_relations,0
angular-github-commits,o2o_self_loop,0
angular-github-commits,duplicate_e2o_relations,0
angular-github-commits,incorrect_attribute_datatype,0
angular-github-commits,incorrect_event_attribute_datatype,0
angular-github-commits,dangling_o2o_relationship,0
angular-github-commits,dangling_e2o_relationship,0
angular-github-commits,missing_event_timestamp,0
angular-github-commits,missing_event,0
angular-github-commits,missing_event_type,0
angular-github-commits,missing_object,0
blockchain,missing_object_type,0
blockchain,missing_attribute_value,67
blockchain,missing_event_attribute_value,0
blockchain,duplicate_objects_on_ids,0
blockchain,duplicate_objects_on_attributes,22
blockchain,duplicate_events_on_ids,0
blockchain,duplicate_events_on_attributes,0
blockchain,duplicate_o2o_relations,0
blockchain,o2o_self_loop,0
blockchain,duplicate_e2o_relations,293
blockchain,incorrect_attribute_datatype,0
blockchain,incorrect_event_attribute_datatype,0
blockchain,dangling_o2o_relationship,0
blockchain,dangling_e2o_relationship,0
blockchain,missing_event_timestamp,0
blockchain,missing_event,0
blockchain,missing_event_type,0
blockchain,missing_object,0
enron-all-mails,missing_object_type,0
enron-all-mails,missing_attribute_value,0
enron-all-mails,missing_event_attribute_value,21230
enron-all-mails,duplicate_objects_on_ids,0
enron-all-mails,duplicate_objects_on_attributes,0
enron-all-mails,duplicate_events_on_ids,0
enron-all-mails,duplicate_events_on_attributes,131940
enron-all-mails,duplicate_o2o_relations,0
enron-all-mails,o2o_self_loop,0
enron-all-mails,duplicate_e2o_relations,0
enron-all-mails,incorrect_attribute_datatype,0
enron-all-mails,incorrect_event_attribute_datatype,0
enron-all-mails,dangling_o2o_relationship,0
enron-all-mails,dangling_e2o_relationship,0
enron-all-mails,missing_event_timestamp,0
enron-all-mails,missing_event,0
enron-all-mails,missing_event_type,0
enron-all-mails,missing_object,0
period20-procedure-steps,missing_object_type,0
period20-procedure-steps,missing_attribute_value,59210
period20-procedure-steps,missing_event_attribute_value,104985
period20-procedure-steps,duplicate_objects_on_ids,0
period20-procedure-steps,duplicate_objects_on_attributes,0
period20-procedure-steps,duplicate_events_on_ids,0
period20-procedure-steps,duplicate_events_on_attributes,0
period20-procedure-steps,duplicate_o2o_relations,0
period20-procedure-steps,o2o_self_loop,0
period20-procedure-steps,duplicate_e2o_relations,0
period20-procedure-steps,incorrect_attribute_datatype,0
period20-procedure-steps,incorrect_event_attribute_datatype,0
period20-procedure-steps,dangling_o2o_relationship,0
period20-procedure-steps,dangling_e2o_relationship,0
period20-procedure-steps,missing_event_timestamp,0
period20-procedure-steps,missing_event,0
period20-procedure-steps,missing_event_type,0
period20-procedure-steps,missing_object,0
reasoning-benchmark,missing_object_type,0
reasoning-benchmark,missing_attribute_value,0
reasoning-benchmark,missing_event_attribute_value,0
reasoning-benchmark,duplicate_objects_on_ids,0
reasoning-benchmark,duplicate_objects_on_attributes,0
reasoning-benchmark,duplicate_events_on_ids,0
reasoning-benchmark,duplicate_events_on_attributes,26
reasoning-benchmark,duplicate_o2o_relations,0
reasoning-benchmark,o2o_self_loop,0
reasoning-benchmark,duplicate_e2o_relations,0
reasoning-benchmark,incorrect_attribute_datatype,0
reasoning-benchmark,incorrect_event_attribute_datatype,0
reasoning-benchmark,dangling_o2o_relationship,0
reasoning-benchmark,dangling_e2o_relationship,0
reasoning-benchmark,missing_event_timestamp,0
reasoning-benchmark,missing_event,0
reasoning-benchmark,missing_event_type,0
reasoning-benchmark,missing_object,0
wil-m-p-van-der-aalst,missing_object_type,0
wil-m-p-van-der-aalst,missing_attribute_value,449
wil-m-p-van-der-aalst,missing_event_attribute_value,0
wil-m-p-van-der-aalst,duplicate_objects_on_ids,0
wil-m-p-van-der-aalst,duplicate_objects_on_attributes,399
wil-m-p-van-der-aalst,duplicate_events_on_ids,0
wil-m-p-van-der-aalst,duplicate_events_on_attributes,0
wil-m-p-van-der-aalst,duplicate_o2o_relations,0
wil-m-p-van-der-aalst,o2o_self_loop,1
wil-m-p-van-der-aalst,duplicate_e2o_relations,0
wil-m-p-van-der-aalst,incorrect_attribute_datatype,0
wil-m-p-van-der-aalst,incorrect_event_attribute_datatype,0
wil-m-p-van-der-aalst,dangling_o2o_relationship,0
wil-m-p-van-der-aalst,dangling_e2o_relationship,0
wil-m-p-van-der-aalst,missing_event_timestamp,0
wil-m-p-van-der-aalst,missing_event,0
wil-m-p-van-der-aalst,missing_event_type,0
wil-m-p-van-der-aalst,missing_object,0
